Repositorio;Anos;nº PullRequests;nº Releases;Último Update (dd);Linguagem Mais Comum;Issues Fechadas ( % );Estrelas
ColorlibHQ/AdminLTE;10.21;1469;72;0;Astro;96.34;43470
justjavac/awesome-wechat-weapp;7.46;276;0;0;;0.0;43440
minio/minio;9.15;9083;463;0;Go;99.6;43420
jestjs/jest;10.25;5433;199;0;TypeScript;95.78;43385
aymericdamien/TensorFlow-Examples;8.33;88;0;0;Jupyter Notebook;29.87;43159
kamranahmedse/design-patterns-for-humans;7.06;49;0;0;;94.0;43070
parcel-bundler/parcel;6.59;2351;35;0;JavaScript;87.59;43027
topjohnwu/Magisk;7.5;1384;132;0;C++;99.58;43018
rclone/rclone;9.99;1744;101;0;Go;83.54;43016
PowerShell/PowerShell;8.16;6732;162;0;C#;93.24;42974
wagoodman/dive;5.82;141;26;0;Go;52.56;42871
x64dbg/x64dbg;8.92;671;3;0;C++;76.2;42854
facebookresearch/segment-anything;0.96;16;0;0;Jupyter Notebook;25.33;42847
babel/babel;9.45;5604;387;0;TypeScript;92.84;42813
astaxie/build-web-application-with-golang;11.61;757;0;0;Go;61.07;42769
Avik-Jain/100-Days-Of-ML-Code;5.68;6;0;0;;0.0;42766
square/retrofit;13.51;930;0;0;Java;95.37;42515
vercel/hyper;7.69;3246;88;0;TypeScript;76.5;42435
agalwood/Motrix;5.23;192;21;0;JavaScript;45.3;42433
gorhill/uBlock;8.94;231;265;0;JavaScript;99.65;42367
meilisearch/meilisearch;5.88;1572;180;0;Rust;92.84;42248
Z4nzu/hackingtool;3.91;55;0;0;Python;89.34;42238
dair-ai/Prompt-Engineering-Guide;1.23;249;0;0;MDX;50.46;42109
PKUFlyingPig/cs-self-learning;2.38;222;4;0;HTML;50.0;42108
pixijs/pixijs;11.13;3233;239;0;TypeScript;95.57;42094
romkatv/powerlevel10k;5.04;152;33;0;Shell;98.6;42008
firstcontributions/first-contributions;7.47;68699;0;0;;98.18;41698
rust-unofficial/awesome-rust;9.65;1300;0;0;Rust;92.48;41669
laurent22/joplin;7.15;2918;331;0;TypeScript;93.89;41585
KillianLucas/open-interpreter;0.65;200;27;0;Python;72.17;41532
k88hudson/git-flight-rules;9.64;221;0;0;;75.34;41531
pandas-dev/pandas;13.55;24865;107;0;Python;86.34;41466
FFmpeg/FFmpeg;12.91;16;0;0;C;0.0;41376
yarnpkg/yarn;8.14;1653;151;0;JavaScript;71.69;41312
isocpp/CppCoreGuidelines;8.56;798;4;0;Python;79.04;41198
nocodb/nocodb;6.36;2816;130;0;TypeScript;83.45;41177
go-gitea/gitea;7.36;14822;187;0;Go;81.27;41137
poteto/hiring-without-whiteboards;6.99;1249;0;0;JavaScript;0.0;41117
jakevdp/PythonDataScienceHandbook;7.58;28;0;0;Jupyter Notebook;40.21;41066
pmndrs/zustand;4.92;597;81;0;TypeScript;99.53;41014
withastro/astro;2.98;5400;1000;0;TypeScript;97.81;40836
hashicorp/terraform;9.99;11348;292;0;Go;91.4;40799
huginn/huginn;11.01;980;1;0;Ruby;70.71;40735
bailicangdu/vue2-elm;7.21;21;0;0;Vue;82.02;40670
Asabeneh/30-Days-Of-JavaScript;4.21;98;0;0;JavaScript;39.58;40542
dypsilon/frontend-dev-bookmarks;10.72;129;1;0;;79.61;40534
google/zx;2.85;122;58;0;JavaScript;84.03;40511
Alamofire/Alamofire;9.61;626;98;0;Swift;98.68;40399
Unitech/pm2;10.81;543;121;0;JavaScript;82.53;40384
grpc/grpc;9.25;19183;291;0;C++;94.64;40373
ruanyf/weekly;5.41;81;0;0;;18.67;40365
nwjs/nw.js;12.19;573;0;0;JavaScript;87.52;40058
discourse/discourse;11.16;22619;0;0;Ruby;0.0;40031
styled-components/styled-components;7.57;937;165;0;TypeScript;91.99;39965
streamich/react-use;5.37;1498;254;0;TypeScript;42.53;39901
apache/dubbo;11.73;4975;94;0;Java;86.8;39859
appwrite/appwrite;4.92;2616;83;0;TypeScript;82.65;39753
brillout/awesome-react-components;7.71;317;0;0;;89.8;39733
starship/starship;4.94;2543;124;0;Rust;74.86;39722
yangshun/front-end-interview-handbook;6.15;247;0;0;MDX;89.69;39655
Leaflet/Leaflet;13.47;2939;31;0;JavaScript;92.33;39636
GitSquared/edex-ui;7.12;399;29;0;JavaScript;98.93;39629
akullpp/awesome-java;9.67;677;0;0;;99.21;39465
nlohmann/json;10.69;702;44;0;C++;96.66;39414
FuelLabs/fuels-rs;2.35;679;84;0;Rust;90.02;39404
type-challenges/type-challenges;3.63;531;0;0;TypeScript;10.55;39327
n8n-io/n8n;4.72;5695;140;0;TypeScript;88.68;39320
FuelLabs/fuels-ts;2.51;995;97;0;TypeScript;88.63;39234
dcloudio/uni-app;5.66;237;0;0;JavaScript;79.46;39190
faif/python-patterns;11.76;262;0;0;Python;87.06;39142
react-hook-form/react-hook-form;5.01;1897;544;0;TypeScript;99.93;39051
serhii-londar/open-source-mac-os-apps;6.35;522;0;0;;76.29;38931
TanStack/query;4.5;1937;810;0;TypeScript;97.73;38923
Dogfalo/materialize;9.49;449;41;0;JavaScript;88.07;38862
vuetifyjs/vuetify;7.49;3738;531;0;TypeScript;94.99;38816
Homebrew/brew;8.01;10331;354;0;Ruby;99.21;38802
quilljs/quill;11.61;339;88;0;TypeScript;70.23;38548
dkhamsing/open-source-ios-apps;9.12;1038;37;0;;100.0;38511
fastlane/fastlane;9.27;6135;539;0;Ruby;96.61;38469
RocketChat/Rocket.Chat;8.81;11806;875;0;TypeScript;83.59;38449
skylot/jadx;10.98;452;28;0;Java;77.33;38380
alex/what-happens-when;10.34;108;0;0;;19.25;38357
THUDM/ChatGLM-6B;0.99;48;0;0;Python;58.49;38307
hexojs/hexo;11.46;893;112;0;TypeScript;98.1;38198
nolimits4web/swiper;11.99;561;62;0;JavaScript;98.46;38191
kelseyhightower/kubernetes-the-hard-way;7.67;69;0;0;;75.84;38092
jgraph/drawio;7.51;36;805;0;JavaScript;87.72;38022
apache/spark;10.04;6;0;0;Scala;0.0;38004
microsoft/monaco-editor;7.76;409;0;0;JavaScript;88.33;37742
apachecn/ailearning;7.04;477;2;0;Python;98.21;37658
impress/impress.js;12.2;120;15;1;JavaScript;88.73;37469
jeecgboot/jeecg-boot;5.29;41;36;0;Java;99.43;37266
chubin/cheat.sh;6.84;122;0;0;Python;52.48;37189
floodsung/Deep-Learning-Papers-Reading-Roadmap;7.41;28;0;0;Python;9.43;37178
PhilJay/MPAndroidChart;9.88;190;44;0;Java;58.58;37146
Kong/kong;9.31;5409;138;0;Lua;98.95;37112
php/php-src;12.74;2182;0;0;C;78.65;37053
psf/black;5.99;1404;39;0;Python;86.07;37045
videojs/video.js;13.83;1696;306;0;JavaScript;90.85;36956
PaddlePaddle/PaddleOCR;3.84;2286;8;0;Python;87.68;36953
evanw/esbuild;7.74;228;278;0;Go;88.47;36932
LeCoupa/awesome-cheatsheets;6.33;163;0;0;JavaScript;64.1;36851
FreeCodeCampChina/freecodecamp.cn;7.44;55;0;0;CSS;76.2;36642
hpcaitech/ColossalAI;2.36;3135;36;0;Python;77.47;36611
google-research/bert;5.37;32;0;0;Python;31.04;36607
tabler/tabler;6.1;462;42;0;HTML;92.96;36605
prisma/prisma;4.72;5076;182;0;TypeScript;70.58;36590
wg/wrk;11.98;0;0;0;C;65.41;36457
getsentry/sentry;13.53;48804;125;0;Python;82.37;36457
LAION-AI/Open-Assistant;1.24;1616;127;0;Python;86.47;36426
google/styleguide;8.81;155;0;0;HTML;39.45;36336
dbeaver/dbeaver;8.39;4447;195;0;Java;87.9;36307
opentofu/manifesto;0.57;760;0;0;HTML;45.83;36268
chakra-ui/chakra-ui;4.56;2257;1000;0;MDX;93.06;36162
freefq/free;3.76;0;0;0;;28.93;36141
Light-City/CPlusPlusThings;4.66;64;0;0;C++;96.74;36138
phaserjs/phaser;10.92;1651;148;0;JavaScript;98.99;36098
metabase/metabase;9.1;19750;442;0;Clojure;79.39;35999
0voice/interview_internal_reference;4.75;35;0;0;Python;40.0;35918
iina/iina;7.22;610;43;0;Swift;55.6;35916
